25 (2860)
29 (3181)
3 (2839)
34 (3040)
36 (3099)
40 (3170)
42 (2714)
44 (2612)
48 (3013)
5 (2971)
52 (3185)
56 (3021)
58 (3195)
60 (3149)
62 (3060)
64 (2631)
66 (3021)
7 (3076)
9 (2874)
25 29 (2848)
25 34 (2712)
25 36 (2794)
25 40 (2834)
25 48 (2749)
25 5 (2649)
25 52 (2850)
25 56 (2697)
25 58 (2859)
25 60 (2832)
25 62 (2738)
25 66 (2715)
25 7 (2743)
29 3 (2839)
29 34 (3036)
29 36 (3084)
29 40 (3155)
29 42 (2702)
29 48 (2998)
29 5 (2964)
29 52 (3170)
29 56 (3006)
29 58 (3180)
29 60 (3136)
29 62 (3045)
29 64 (2616)
29 66 (3013)
29 7 (3069)
29 9 (2866)
3 34 (2706)
3 36 (2746)
3 40 (2813)
3 48 (2672)
3 5 (2639)
3 52 (2830)
3 56 (2704)
3 58 (2839)
3 60 (2805)
3 62 (2724)
3 66 (2703)
3 7 (2765)
34 36 (2943)
34 40 (3017)
34 42 (2602)
34 48 (2857)
34 5 (2889)
34 52 (3031)
34 56 (2884)
34 58 (3039)
34 60 (2995)
34 62 (2913)
34 66 (2886)
34 7 (2930)
34 9 (2753)
36 40 (3073)
36 42 (2626)
36 48 (2987)
36 5 (2874)
36 52 (3088)
36 56 (2924)
36 58 (3098)
36 60 (3052)
36 62 (2963)
36 66 (2924)
36 7 (2979)
36 9 (2777)
40 42 (2697)
40 48 (2987)
40 5 (2950)
40 52 (3159)
40 56 (2996)
40 58 (3169)
40 60 (3124)
40 62 (3045)
40 64 (2630)
40 66 (2997)
40 7 (3050)
40 9 (2852)
42 52 (2708)
42 58 (2713)
42 60 (2688)
42 66 (2612)
42 7 (2603)
44 52 (2601)
44 58 (2611)
48 5 (2788)
48 52 (3002)
48 56 (2838)
48 58 (3012)
48 60 (2986)
48 62 (2877)
48 66 (2873)
48 7 (2893)
48 9 (2691)
5 52 (2960)
5 56 (2803)
5 58 (2970)
5 60 (2924)
5 62 (2859)
5 66 (2832)
5 7 (2859)
5 9 (2683)
52 56 (3016)
52 58 (3184)
52 60 (3138)
52 62 (3049)
