29 (3181)
34 (3040)
36 (3099)
40 (3170)
48 (3013)
5 (2971)
52 (3185)
56 (3021)
58 (3195)
60 (3149)
62 (3060)
66 (3021)
7 (3076)
29 34 (3036)
29 36 (3084)
29 40 (3155)
29 48 (2998)
29 5 (2964)
29 52 (3170)
29 56 (3006)
29 58 (3180)
29 60 (3136)
29 62 (3045)
29 66 (3013)
29 7 (3069)
34 36 (2943)
34 40 (3017)
34 52 (3031)
34 58 (3039)
34 60 (2995)
34 62 (2913)
34 7 (2930)
36 40 (3073)
36 48 (2987)
36 52 (3088)
36 56 (2924)
36 58 (3098)
36 60 (3052)
36 62 (2963)
36 66 (2924)
36 7 (2979)
40 48 (2987)
40 5 (2950)
40 52 (3159)
40 56 (2996)
40 58 (3169)
40 60 (3124)
40 62 (3045)
40 66 (2997)
40 7 (3050)
48 52 (3002)
48 58 (3012)
48 60 (2986)
5 52 (2960)
5 58 (2970)
5 60 (2924)
52 56 (3016)
52 58 (3184)
52 60 (3138)
52 62 (3049)
52 66 (3010)
52 7 (3065)
56 58 (3020)
56 60 (2974)
56 62 (2923)
56 7 (2919)
58 60 (3148)
58 62 (3060)
58 66 (3020)
58 7 (3075)
60 62 (3014)
60 66 (3021)
60 7 (3031)
62 7 (2940)
66 7 (2906)
29 34 36 (2939)
29 34 40 (3013)
29 34 52 (3027)
29 34 58 (3035)
29 34 60 (2991)
29 34 62 (2909)
29 34 7 (2928)
29 36 40 (3058)
29 36 48 (2972)
29 36 52 (3073)
29 36 56 (2909)
29 36 58 (3083)
29 36 60 (3039)
29 36 62 (2948)
29 36 66 (2916)
29 36 7 (2972)
29 40 48 (2972)
29 40 5 (2943)
29 40 52 (3144)
29 40 56 (2981)
29 40 58 (3154)
29 40 60 (3111)
29 40 62 (3030)
29 40 66 (2989)
29 40 7 (3043)
29 48 52 (2987)
29 48 58 (2997)
29 48 60 (2973)
29 5 52 (2953)
29 5 58 (2963)
29 5 60 (2919)
29 52 56 (3001)
29 52 58 (3169)
29 52 60 (3125)
29 52 62 (3034)
29 52 66 (3002)
29 52 7 (3058)
29 56 58 (3005)
29 56 60 (2961)
29 56 62 (2908)
29 56 7 (2912)
29 58 60 (3135)
29 58 62 (3045)
29 58 66 (3012)
29 58 7 (3068)
29 60 62 (3001)
29 60 66 (3013)
29 60 7 (3024)
29 62 7 (2933)
29 66 7 (2902)
34 36 40 (2920)
34 36 52 (2934)
34 36 58 (2942)
34 40 52 (3008)
34 40 58 (3016)
34 40 60 (2973)
34 40 62 (2901)
34 40 7 (2907)
34 52 58 (3030)
34 52 60 (2986)
34 52 62 (2904)
34 52 7 (2921)
34 58 60 (2994)
34 58 62 (2913)
34 58 7 (2929)
36 40 48 (2961)
36 40 52 (3062)
36 40 58 (3072)
36 40 60 (3027)
36 40 62 (2948)
36 40 66 (2900)
36 40 7 (2953)
36 48 52 (2976)
36 48 58 (2986)
36 48 60 (2960)
36 52 56 (2919)
36 52 58 (3087)
36 52 60 (3041)
36 52 62 (2952)
36 52 66 (2913)
36 52 7 (2968)
36 56 58 (2923)
36 58 60 (3051)
36 58 62 (2963)
36 58 66 (2923)
36 58 7 (2978)
36 60 62 (2917)
36 60 66 (2924)
36 60 7 (2934)
40 48 52 (2976)
40 48 58 (2986)
40 48 60 (2961)
40 5 52 (2939)
40 5 58 (2949)
40 5 60 (2904)
40 52 56 (2991)
40 52 58 (3158)
40 52 60 (3113)
40 52 62 (3034)
40 52 66 (2986)
40 52 7 (3039)
40 56 58 (2995)
40 56 60 (2950)
40 56 62 (2909)
40 58 60 (3123)
40 58 62 (3045)
40 58 66 (2996)
40 58 7 (3049)
40 60 62 (2999)
40 60 66 (2997)
40 60 7 (3006)
40 62 7 (2925)
48 52 58 (3001)
48 52 60 (2975)
48 58 60 (2985)
5 52 58 (2959)
5 52 60 (2913)
5 58 60 (2923)
52 56 58 (3015)
52 56 60 (2969)
52 56 62 (2918)
52 56 7 (2914)
52 58 60 (3137)
52 58 62 (3049)
52 58 66 (3009)
52 58 7 (3064)
52 60 62 (3003)
52 60 66 (3010)
52 60 7 (3020)
52 62 7 (2929)
56 58 60 (2973)
56 58 62 (2923)
56 58 7 (2918)
58 60 62 (3014)
58 60 66 (3020)
58 60 7 (3030)
58 62 7 (2940)
58 66 7 (2905)
60 66 7 (2906)
29 34 36 40 (2916)
29 34 36 52 (2930)
29 34 36 58 (2938)
29 34 40 52 (3004)
29 34 40 58 (3012)
29 34 40 60 (2969)
29 34 40 7 (2905)
29 34 52 58 (3026)
29 34 52 60 (2982)
29 34 52 62 (2900)
29 34 52 7 (2919)
29 34 58 60 (2990)
29 34 58 62 (2909)
29 34 58 7 (2927)
29 36 40 48 (2946)
29 36 40 52 (3047)
29 36 40 58 (3057)
29 36 40 60 (3014)
29 36 40 62 (2933)
29 36 40 7 (2946)
29 36 48 52 (2961)
29 36 48 58 (2971)
29 36 48 60 (2947)
29 36 52 56 (2904)
29 36 52 58 (3072)
29 36 52 60 (3028)
29 36 52 62 (2937)
29 36 52 66 (2905)
29 36 52 7 (2961)
29 36 56 58 (2908)
29 36 58 60 (3038)
29 36 58 62 (2948)
29 36 58 66 (2915)
29 36 58 7 (2971)
29 36 60 62 (2904)
29 36 60 66 (2916)
29 36 60 7 (2927)
29 40 48 52 (2961)
29 40 48 58 (2971)
29 40 48 60 (2948)
29 40 5 52 (2932)
29 40 5 58 (2942)
29 40 52 56 (2976)
29 40 52 58 (3143)
29 40 52 60 (3100)
29 40 52 62 (3019)
29 40 52 66 (2978)
29 40 52 7 (3032)
29 40 56 58 (2980)
29 40 56 60 (2937)
29 40 58 60 (3110)
29 40 58 62 (3030)
29 40 58 66 (2988)
29 40 58 7 (3042)
29 40 60 62 (2986)
29 40 60 66 (2989)
29 40 60 7 (2999)
29 40 62 7 (2918)
29 48 52 58 (2986)
29 48 52 60 (2962)
29 48 58 60 (2972)
29 5 52 58 (2952)
29 5 52 60 (2908)
29 5 58 60 (2918)
29 52 56 58 (3000)
29 52 56 60 (2956)
29 52 56 62 (2903)
29 52 56 7 (2907)
29 52 58 60 (3124)
29 52 58 62 (3034)
29 52 58 66 (3001)
29 52 58 7 (3057)
29 52 60 62 (2990)
29 52 60 66 (3002)
29 52 60 7 (3013)
29 52 62 7 (2922)
29 56 58 60 (2960)
29 56 58 62 (2908)
29 56 58 7 (2911)
29 58 60 62 (3001)
29 58 60 66 (3012)
29 58 60 7 (3023)
29 58 62 7 (2933)
29 58 66 7 (2901)
29 60 66 7 (2902)
34 36 40 52 (2911)
34 36 40 58 (2919)
34 36 52 58 (2933)
34 40 52 58 (3007)
34 40 52 60 (2964)
34 40 58 60 (2972)
34 40 58 62 (2901)
34 40 58 7 (2906)
34 52 58 60 (2985)
34 52 58 62 (2904)
34 52 58 7 (2920)
36 40 48 52 (2950)
36 40 48 58 (2960)
36 40 48 60 (2935)
36 40 52 58 (3061)
36 40 52 60 (3016)
36 40 52 62 (2937)
36 40 52 7 (2942)
36 40 58 60 (3026)
36 40 58 62 (2948)
36 40 58 7 (2952)
36 40 60 62 (2902)
36 40 60 66 (2900)
36 40 60 7 (2909)
36 48 52 58 (2975)
36 48 52 60 (2949)
36 48 58 60 (2959)
36 52 56 58 (2918)
36 52 58 60 (3040)
36 52 58 62 (2952)
36 52 58 66 (2912)
36 52 58 7 (2967)
36 52 60 62 (2906)
36 52 60 66 (2913)
36 52 60 7 (2923)
36 58 60 62 (2917)
36 58 60 66 (2923)
36 58 60 7 (2933)
40 48 52 58 (2975)
40 48 52 60 (2950)
40 48 58 60 (2960)
