timestamp,dataset,dataset_stem,min_support,hash_prune,txn_reduction,delimiter,n_transactions,total_frequents,runtime_seconds,frequents_file,counts_by_k
20251017-224141,data\chess.dat,chess,2500,False,False,,3196,11493,17.349925800022902,output\frequents_chess_s2500_20251017-224141.txt,"{""1"": 22, ""2"": 160, ""3"": 651, ""4"": 1654, ""5"": 2758, ""6"": 3002, ""7"": 2091, ""8"": 902, ""9"": 226, ""10"": 27}"
20251017-224158,data\chess.dat,chess,2500,True,True,,3196,11493,13.991852399980417,output\frequents_chess_s2500_hp_tr_20251017-224158.txt,"{""1"": 22, ""2"": 160, ""3"": 651, ""4"": 1654, ""5"": 2758, ""6"": 3002, ""7"": 2091, ""8"": 902, ""9"": 226, ""10"": 27}"
20251017-224213,data\chess.dat,chess,2600,False,False,,3196,6135,5.752604599983897,output\frequents_chess_s2600_20251017-224213.txt,"{""1"": 19, ""2"": 132, ""3"": 506, ""4"": 1169, ""5"": 1674, ""6"": 1507, ""7"": 834, ""8"": 260, ""9"": 34}"
20251017-224219,data\chess.dat,chess,2600,True,True,,3196,6135,5.756544500007294,output\frequents_chess_s2600_hp_tr_20251017-224219.txt,"{""1"": 19, ""2"": 132, ""3"": 506, ""4"": 1169, ""5"": 1674, ""6"": 1507, ""7"": 834, ""8"": 260, ""9"": 34}"
20251017-224224,data\chess.dat,chess,2700,False,False,,3196,3134,2.471857099997578,output\frequents_chess_s2700_20251017-224224.txt,"{""1"": 17, ""2"": 114, ""3"": 391, ""4"": 775, ""5"": 923, ""6"": 643, ""7"": 237, ""8"": 34}"
20251017-224227,data\chess.dat,chess,2700,True,True,,3196,3134,2.4675679999927524,output\frequents_chess_s2700_hp_tr_20251017-224227.txt,"{""1"": 17, ""2"": 114, ""3"": 391, ""4"": 775, ""5"": 923, ""6"": 643, ""7"": 237, ""8"": 34}"
20251017-224230,data\chess.dat,chess,2800,False,False,,3196,1350,0.899968900019303,output\frequents_chess_s2800_20251017-224230.txt,"{""1"": 16, ""2"": 92, ""3"": 262, ""4"": 414, ""5"": 366, ""6"": 167, ""7"": 32, ""8"": 1}"
20251017-224231,data\chess.dat,chess,2800,True,True,,3196,1350,1.0317143000138458,output\frequents_chess_s2800_hp_tr_20251017-224231.txt,"{""1"": 16, ""2"": 92, ""3"": 262, ""4"": 414, ""5"": 366, ""6"": 167, ""7"": 32, ""8"": 1}"
20251017-224232,data\chess.dat,chess,2900,False,False,,3196,473,0.3147365000040736,output\frequents_chess_s2900_20251017-224232.txt,"{""1"": 13, ""2"": 62, ""3"": 139, ""4"": 155, ""5"": 84, ""6"": 19, ""7"": 1}"
20251017-224232,data\chess.dat,chess,2900,True,True,,3196,473,0.3703420000092592,output\frequents_chess_s2900_hp_tr_20251017-224232.txt,"{""1"": 13, ""2"": 62, ""3"": 139, ""4"": 155, ""5"": 84, ""6"": 19, ""7"": 1}"
